GEO_ID,NAME,S1501_C01_001E,S1501_C01_001EA,S1501_C01_001M,S1501_C01_001MA,education
6001,"Alameda County, California",136997,null,*****,*****,11218
6003,"Alpine County, California",32,null,29,null,7
6005,"Amador County, California",2264,null,122,null,537
6007,"Butte County, California",32344,null,100,null,2655
6009,"Calaveras County, California",2843,null,160,null,326
6011,"Colusa County, California",1907,null,94,null,240
6013,"Contra Costa County, California",93037,null,118,null,9732
6015,"Del Norte County, California",1923,null,218,null,463
6017,"El Dorado County, California",13341,null,148,null,1353
6019,"Fresno County, California",97886,null,74,null,13064
6021,"Glenn County, California",2504,null,44,null,388
6023,"Humboldt County, California",17036,null,137,null,1093
6025,"Imperial County, California",18338,null,147,null,3055
6027,"Inyo County, California",1062,null,141,null,64
6029,"Kern County, California",90462,null,39,null,13558
6031,"Kings County, California",16621,null,78,null,2394
6033,"Lake County, California",4266,null,112,null,467
6035,"Lassen County, California",3338,null,183,null,1005
6037,"Los Angeles County, California",952944,null,*****,*****,104097
6039,"Madera County, California",15152,null,416,null,2836
6041,"Marin County, California",16964,null,196,null,1956
6043,"Mariposa County, California",878,null,67,null,55
6045,"Mendocino County, California",6496,null,160,null,888
6047,"Merced County, California",30639,null,221,null,3450
6049,"Modoc County, California",403,null,118,null,105
6051,"Mono County, California",1408,null,263,null,61
6053,"Monterey County, California",43083,null,136,null,7006
6055,"Napa County, California",12011,null,94,null,1046
6057,"Nevada County, California",5898,null,209,null,657
6059,"Orange County, California",289774,null,*****,*****,25466
6061,"Placer County, California",28723,null,177,null,2365
6063,"Plumas County, California",1127,null,138,null,170
6065,"Riverside County, California",236238,null,*****,*****,23832
6067,"Sacramento County, California",130962,null,*****,*****,14103
6069,"San Benito County, California",5745,null,108,null,744
6071,"San Bernardino County, California",223409,null,125,null,25753
6073,"San Diego County, California",340813,null,*****,*****,28242
6075,"San Francisco County, California",60846,null,218,null,2906
6077,"San Joaquin County, California",72485,null,64,null,9806
6079,"San Luis Obispo County, California",42626,null,308,null,1593
6081,"San Mateo County, California",56002,null,119,null,4951
6083,"Santa Barbara County, California",69751,null,255,null,5883
6085,"Santa Clara County, California",161684,null,*****,*****,13896
6087,"Santa Cruz County, California",40529,null,270,null,2700
6089,"Shasta County, California",13633,null,102,null,1635
6091,"Sierra County, California",152,null,74,null,0
6093,"Siskiyou County, California",2920,null,95,null,477
6095,"Solano County, California",38611,null,142,null,4068
6097,"Sonoma County, California",40081,null,134,null,4409
6099,"Stanislaus County, California",51695,null,198,null,5779
6101,"Sutter County, California",8254,null,90,null,1504
6103,"Tehama County, California",4672,null,100,null,830
6105,"Trinity County, California",664,null,80,null,22
6107,"Tulare County, California",46977,null,158,null,6544
6109,"Tuolumne County, California",3744,null,194,null,632
6111,"Ventura County, California",78658,null,60,null,8237
6113,"Yolo County, California",44160,null,149,null,2158
6115,"Yuba County, California",7227,null,147,null,616
